Player_name,Position,Height,Weight,Broad_Jump
Donovan Peoples-Jones,WR,188,212,139
Jeremy Chinn,S,190,221,138
Jalen Reagor,WR,180,206,138
Willie Gay Jr.,LB,185,243,136
Jeff Okudah,CB,185,205,135
Kyle Dugger,S,185,217,134
Harrison Hand,CB,180,197,133
Chris Miller,S,180,190,133
Kindle Vildor,CB,178,191,133
K'Von Wallace,S,180,206,133
Reggie Robinson II,CB,185,205,132
Dezmon Patmon,WR,193,225,132
Isaiah Simmons,LB,193,238,132
AJ Dillon,RB,183,247,131
Henry Ruggs III,WR,180,188,131
Denzel Mims,WR,190,207,131
L'Jarius Sneed,S,183,192,131
J.R. Reed,S,185,202,130
Kenneth Murray,LB,188,241,129
John Reid,CB,178,187,129
A.J. Terrell,CB,185,195,129
Brandon Aiyuk,WR,183,205,128
Jet Anderson,RB,178,208,128
Essang Bassey,CB,175,191,128
Noah Igbinoghene,CB,178,198,128
Ben Victor,WR,193,198,128
Rico Dowdle,RB,180,213,127
Antonio Gandy-Golden,WR,193,223,127
C.J. Henderson,CB,185,204,127
Kalija Lipscomb,WR,183,207,127
Davion Taylor,LB,183,228,127
Stantley Thomas-Oliver,CB,183,192,127
Jabari Zuniga,DL,190,264,127
Marquez Callaway,WR,185,205,126
Nevelle Clarke,CB,185,190,126
Chase Claypool,WR,193,238,126
Tyrie Cleveland,WR,188,209,126
Carter Coughlin,LB,190,236,126
Brian Herrien,RB,180,209,126
Justin Jefferson,WR,185,202,126
BoPete Keyes,CB,185,202,126
Jacob Phillips,LB,190,229,126
Casey Toohill,LB,193,250,126
LeVante Bellamy,RB,175,192,125
Kelly Bryant,QB,190,229,125
Kamren Curl,S,185,206,125
Jalen Elliott,S,183,205,125
Darrynton Evans,RB,178,203,125
Jonathan Garvin,DL,193,263,125
Stephen Guidry,WR,190,201,125
Alex Highsmith,DL,190,248,125
Jalen Hurts,QB,185,222,125
Dalton Keene,TE,193,253,125
Javon Leake,RB,183,215,125
Patrick Queen,LB,183,229,125
James Robinson,RB,175,219,125
Daniel Thomas,S,178,215,125
Jeff Thomas,WR,175,170,125
Quez Watkins,WR,183,185,125
Quintez Cephus,WR,185,202,124
Gabriel Davis,WR,188,216,124
Javaris Davis,CB,173,183,124
Cale Garrett,LB,188,234,124
